AppID;Name;Release_Date;Primary_Genre;All_Tags;Price_USD;Review_Score_Pct_SteamDB;Total_Reviews;Positive_Reviews;Steam_Deck_Status;Estimated_Owners;24h_Peak_Players;Is_DLC?
730;Counter-Strike 2;21/8/2012;Action;"FPS;Shooter;Multiplayer;Competitive;Action;Team-Based;eSports;Tactical;First-Person;PvP;Online Co-op;Co-op;Strategy;Military;War;Difficult;Trading;Realistic;Fast-Paced;Moddable";0;85,87;9600588;8271112;Playable;288017640;1446082;No
2868840;Slay the Spire 2;5/3/2026;Indie;"Roguelike;Card Game;Deckbuilding;Strategy;Co-op;Roguelike Deckbuilder;Multiplayer;Turn-Based Combat;Card Battler;Indie;Political;Rougelite;Difficult;Early Access;2D;Dungeon Crawler;Singleplayer;Replay Value;Fantasy;Procedural Generation";24,99;57,24;191728;110118;Verified;5751840;191620;No
3321460;Crimson Desert;19/3/2026;Action;"Open World;Action;Singleplayer;Adventure;Exploration;Combat;Fantasy;Medieval;Action-Adventure;Dragons;Third Person;RPG;Choose Your Own Adventure;Horses;Story Rich;PvE;3D;Artificial Intelligence;Gore;Souls-like";69,99;83,03;151844;127490;Unsupported;4555320;58145;No
3065800;Marathon;5/3/2026;Action;"Extraction Shooter;PvP;Multiplayer;Sci-fi;FPS;Shooter;Futuristic;Action;First-Person;PvE;Cyberpunk;Gun Customization;Class-Based;Survival;Online Co-op;Inventory Management;Character Customization;Psychological Horror;Hero Shooter;LGBTQ+";39,99;83,72;49110;41784;Unsupported;1473300;11975;No
3764200;Resident Evil Requiem;26/2/2026;Action;"Survival Horror;Zombies;Horror;Third-Person Shooter;Action;FPS;First-Person;Action-Adventure;Cinematic;Singleplayer;Realistic;3D;Dark;Story Rich;Post-apocalyptic;Female Protagonist;Violent;Inventory Management;Modern;Metroidvania";69,99;94,84;170172;163485;Playable;5105160;12776;No
2157830;John Carpenter's Toxic Commando;12/3/2026;Action;"Zombies;Online Co-Op;Shooter;FPS;PvE;Action;Adventure;Looter Shooter;First-Person;Action-Adventure;1980s;Horror;Sci-fi;Funny;Supernatural;Vehicular Combat;Co-op;Character Customization;Team-Based;Multiplayer";39,99;74,09;6494;4931;Playable;194820;599;No
1144200;Ready or Not;13/12/2023;Action;"Tactical;Realistic;FPS;Shooter;Multiplayer;Singleplayer;Co-op;Horror;First-Person;Action;Psychological Horror;Violent;Gun Customization;Combat;Crime;Gore;Modern;Atmospheric;Co-op Campaign;America";49,99;77,27;328533;255872;Verified;9855990;10166;No
1172470;Apex Legends™;4/11/2020;Action;"Free to Play;Battle Royale;Multiplayer;FPS;Shooter;First-Person;PvP;Action;Hero Shooter;Team-Based;Tactical;Sci-fi;Loot;Co-op;Survival;Character Customization;Funny;Cyberpunk;Lore-Rich;Cinematic";0;67,38;1047751;708873;Unsupported;31432530;281328;No
1808500;ARC Raiders;30/10/2025;Action;"Extraction Shooter;Multiplayer;PvP;PvE;Third-Person Shooter;Post-apocalyptic;Online Co-Op;Shooter;Survival;Sci-fi;Atmospheric;Third Person;Crafting;Inventory Management;Action;Open World;Combat;Futuristic;Character Customization;Realistic";39,99;83,81;395031;333900;Verified;11850930;96718;No
2852190;Monster Hunter Stories 3: Twisted Reflection;12/3/2026;Adventure;"RPG;Creature Collector;JRPG;Turn-Based Combat;Exploration;Adventure;Cartoony;Dragons;Singleplayer;Character Customization;Anime;Turn-Based;Story Rich;Open World;Fantasy;Multiplayer;Third Person;Cute";69,99;78,8;7772;6286;Verified;233160;1501;No
1167630;Teardown;21/4/2022;Action;"Destruction;Physics;Sandbox;Voxel;Multiplayer;Heist;Singleplayer;Indie;First-Person;Replay Value;Co-op;Co-op Campaign;3D;Simulation;Mod;Action;Driving;Realistic;Online Co-op;Puzzle";29,99;94,51;129995;124578;Verified;3899850;3846;No
2552430;KINGDOM HEARTS -HD 1.5+2.5 ReMIX-;13/6/2024;Action;"Action;RPG;Adventure;JRPG;Great Soundtrack;Action-Adventure;Story Rich;Emotional;Singleplayer;Fantasy;Magic;Colorful;3D;Action RPG;Anime;Hack and Slash;Atmospheric;Character Action Game;Cute;Classic";49,99;83,63;10219;8774;Verified;306570;1849;No
4069520;Super Battle Golf;19/2/2026;Casual;"Multiplayer;Online Co-Op;Co-op;Sports;Physics;Exploration;Comedy;Golf;Exploration;Funny;3D;Action;Adventure;Colorful;Cute;PvP;Character Customization;Third Person;Party Game;Mini Golf;Racing";7,99;91,93;8407;7896;Verified;252210;2947;No
2767030;Marvel Rivals;5/12/2024;Action;"Free to Play;Multiplayer;Hero Shooter;Third-Person Shooter;Superhero;PvP;Action;Team-Based;Competitive;Sexual Content;Shooter;3D;Online Co-op;Third Person;Strategy;Co-op;Sci-fi;Hentai;FPS;Psychological Horror";0;76,04;386960;296366;Playable;11608800;91738;No
1222670;The Sims™ 4;18/6/2020;Adventure;"Life Sim;Free to Play;Character Customization;Building;Simulation;Romance;Singleplayer;Sandbox;Dating Sim;Relaxing;Casual;Realistic;Funny;Family Friendly;Cute;Immersive Sim;Fantasy;Adventure;Cartoony;Nudity";0;85,61;194236;168099;Playable;5827080;28969;No
2778610;Over The Top: WWI;6/3/2026;Action;"Multiplayer;Action;World War I;Third-Person Shooter;FPS;Shooter;Historical;Simulation;3D;Cinematic;Third Person;Realistic;Destruction;Tactical;War;PvP;Team-Based;Singleplayer;PvE;First-Person";19,14;82,71;6134;5230;Playable;184020;595;No
359550;Tom Clancy's Rainbow Six Siege;1/12/2015;Action;"FPS;PvP;Multiplayer;Shooter;Tactical;eSports;Competitive;Online Co-Op;Action;Hero Shooter;Team-Based;Military;Strategy;First-Person;Co-op;Realistic;Destruction;War;Difficult;3D";0;82;1512408;1246931;Unsupported;45372240;77463;No
553850;HELLDIVERS™ 2;8/2/2024;Action;"Online Co-Op;PvE;Third-Person Shooter;Multiplayer;Shooter;Action;Co-op;Sci-fi;Extraction Shooter;Capitalism;Space;Third Person;Comedy;Gore;Great Soundtrack;Violent;Difficult;Psychological Horror;Singleplayer;Open World";39,99;74,89;1141102;858891;Playable;34233060;38955;No
230410;Warframe;25/3/2013;Action;"Free to Play;Looter Shooter;Action RPG;Third-Person Shooter;Action;RPG;Third Person;Massively Multiplayer;Online Co-Op;Character Customization;Co-op;PvE;Sci-fi;Singleplayer;Space;Lore-Rich;Shooter;Hack and Slash;Parkour;Ninja";0;86,7;668324;583827;Verified;20049720;66430;No
2357570;Overwatch®;10/8/2023;Action;"Free to Play;Hero Shooter;FPS;Multiplayer;Team-Based;First-Person;MOBA;Third-Person Shooter;Third Person;PvP;Competitive;Shooter;Action;Co-op;Sci-fi;Online Co-op;PvE;Casual;Cinematic;Lore-Rich";0;30,36;399916;119770;Playable;11997480;71860;No
236390;War Thunder;15/8/2013;Action;"Free to Play;Simulation;Vehicular Combat;Combat;Flight;World War II;VR;War;Military;Tanks;Multiplayer;Naval Combat;Massively Multiplayer;Modern;Cold War;Action;Shooter;Realistic;Third Person;Third-Person Shooter";0;64,68;872757;566657;Verified;26182710;89439;No
