"DateTime";"Games";"Limited Games"
"2006-01-01 00:00:00";70;0
"2007-01-01 00:00:00";135;0
"2008-01-01 00:00:00";242;0
"2009-01-01 00:00:00";379;1
"2010-01-01 00:00:00";275;0
"2011-01-01 00:00:00";281;0
"2012-01-01 00:00:00";303;0
"2013-01-01 00:00:00";436;0
"2014-01-01 00:00:00";1713;0
"2015-01-01 00:00:00";2820;1
"2016-01-01 00:00:00";4647;4
"2017-01-01 00:00:00";6914;13
"2018-01-01 00:00:00";5969;2899
"2019-01-01 00:00:00";2821;5247
"2020-01-01 00:00:00";3204;6441
"2021-01-01 00:00:00";3452;7773
"2022-01-01 00:00:00";3674;8588
"2023-01-01 00:00:00";4103;9942
"2024-01-01 00:00:00";4517;14013
"2025-01-01 00:00:00";4862;16587
"2026-01-01 00:00:00";1932;8193
